Average Return,Year ,,,,,
0.00,1975,,,,,
0.11,1976,,,,,
0.16,1977,,,,,
-0.17,1978,,,,,
-0.30,1979,,,,,
0.32,1980,,,,,
0.19,1981,,,,,
-0.12,1982,,,,,
0.01,1983,,,,,
0.12,1984,,,,,
0.26,1985,,,,,
-0.10,1986,,,,,
0.15,1987,,,,,
0.17,1988,,,,,
0.27,1989,,,,,
-0.03,1990,,,,,
0.30,1991,,,,,
0.08,1992,,,,,
0.10,1993,,,,,
0.01,1994,,,,,
0.38,1995,,,,,
0.23,1996,,,,,
0.33,1997,,,,,
0.29,1998,,,,,
0.21,1999,,,,,
-0.09,2000,,,,,
-0.12,2001,,,,,
-0.22,2002,,,,,
0.29,2003,,,,,
0.11,2004,,,,,
0.05,2005,,,,,
0.16,2006,,,,,
0.05,2007,,,,,
-0.37,2008,,,,,
0.26,2009,,,,,
0.15,2010,,,,,
0.02,2011,,,,,
0.16,2012,,,,,
0.32,2013,,,,,
0.14,2014,,,,,
0.01,2015,,,,,
