"","loan_no","start","stop","Prob5yr","Prob1yr"
"1",1,1,5,0.0201183116950125,0.00396672778888321
"2",2,6,10,0.0122980136557442,0.00313801503968292
"3",3,11,15,0.0245124403189015,0.00373928110170006
"4",4,16,20,0.233742745120874,0.00688073627047837
"5",5,21,25,0.00963380800188551,0.00175703193094312
"6",6,26,30,0.137186608098898,0.0065890850739745
"7",7,31,35,0.496611394881074,0.0235007982144955
"8",8,36,40,0.0517535348141683,0.0148315231923434
"9",9,41,45,0.0875756344592918,0.0180031125395727
"10",10,46,50,0.00527857845303636,0.00131084528971084
"11",11,51,55,0.0238498972353343,0.00462120962207945
"12",12,56,60,0.010742026837477,0.00196555765145928
"13",13,61,65,0.092256396779329,0.0392225418593224
"14",14,66,70,0.0160810119645818,0.00446448514423969
"15",15,71,75,0.0304867218159529,0.0146166295805116
"16",16,76,80,0.0153413426742885,0.00349933493724117
"17",17,81,85,0.0681144370836299,0.0422929540356794
"18",18,86,90,0.615019428512551,0.176454556416746
"19",19,91,95,0.0133207272259557,0.00316214315677783
"20",20,96,100,0.0424367490389902,0.020038359357259
"21",21,101,105,0.221932872314994,0.0116099930245607
"22",22,106,110,0.011561096047877,0.00200821551448779
"23",23,111,115,0.0838011957730158,0.0159029318866372
"24",24,116,120,0.00756837719881331,0.00183259138540994
"25",25,121,125,0.00787168747172984,0.00169028370588204
"26",26,126,130,0.0152311025655285,0.00382221459610136
"27",27,131,135,0.00208243457063251,9.61184082339791e-05
"28",28,136,140,0.00823892028434692,0.00206272498009733
"29",29,141,145,0.249003607075571,0.0150045622981907
"30",30,146,150,0.014920240321139,0.00328192985481441
"31",31,151,155,0.0321145550758813,0.00440264132347946
"32",32,156,160,0.122917475997832,0.0153686676753095
"33",33,161,165,0.0282105677110664,0.00410716553158369
"34",34,166,170,0.015824576851542,0.00284872171273654
"35",35,171,175,0.158794782824334,0.0106988917992059
"36",36,176,180,0.0690132611917251,0.0185568528798682
"37",37,181,185,0.0242330313025517,0.0103430316822572
"38",38,186,190,0.00643206080206393,0.00228035048630805
"39",39,191,195,0.0513703118592089,0.0224198364470409
"40",40,196,200,0.0323814754113154,0.00812028261303064
"41",41,201,205,0.0802761081747962,0.00477672345806044
"42",42,206,210,0.0480606981184438,0.011308255343534
"43",43,211,215,0.0622771319131979,0.0231670003340739
"44",44,216,220,0.045572008643086,0.00243301251960396
"45",45,221,225,0.0452589386332315,0.0038251324094915
"46",46,226,230,0.0437130080112029,0.0189225299841316
"47",47,231,235,0.00716064347312029,0.000991553771303854
"48",48,236,240,0.0583985624255181,0.0103779998899663
"49",49,241,245,0.173193201005262,0.0745588550805184
"50",50,246,250,0.0360464787419017,0.0223834652502069
"51",51,251,255,0.0383948070057974,0.00556271072083426
"52",52,256,260,0.157209749049699,0.00765489499431994
"53",53,261,265,0.0165828102544829,0.00317674947797966
"54",54,266,270,0.0130954213229141,0.00268533325732884
"55",55,271,275,0.00804075035666185,0.0019453720594359
"56",56,276,280,0.0102150456477902,0.00316018216690969
"57",57,281,285,0.0124773450621189,0.00255272736365242
"58",58,286,290,0.026106140566068,0.00120535072481816
"59",59,291,295,0.0453077430696328,0.0105049351227848
"60",60,296,300,0.0168426796658137,0.00371435022389077
"61",61,301,305,0.332823385910171,0.00824948420750186
"62",62,306,310,0.0202758549956316,0.00401400795803095
"63",63,311,315,0.038657689161662,0.00902659512200473
"64",64,316,320,0.0163984596534361,0.00369753096409722
"65",65,321,325,0.0621437635959126,0.0119372422792061
"66",66,326,330,0.0102775405404292,0.00201812031850013
